level,Nation_fk,Year,Region,Country,All Religions,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
1,164,2010,Latin America-Caribbean,Peru, 100,1.00,95.5,1.00,1.00,1.00,1.00,1.00, 3.0
1,165,2010,Asia-Pacific,Philippines, 100,1.00,92.6, 1.5,1.00,1.00, 5.5,1.00,1.00
1,167,2010,Europe,Poland, 100,1.00,94.3,1.00,1.00,1.00,1.00,1.00, 5.6
1,168,2010,Europe,Portugal, 100,1.00,91.9,1.00,1.00,1.00,1.00,1.00, 7.5
1,169,2010,Latin America-Caribbean,Puerto Rico, 100,1.00,96.7,1.00,1.00,1.00,1.00,1.00, 1.9
1,170,2010,Middle East-North Africa,Qatar, 100, 3.1,13.8,1.00,13.8,1.00,67.7,1.00,1.00
1,171,2010,Sub-Saharan Africa,Reunion, 100,1.00,87.6,1.00, 4.5,1.00, 4.2, 1.1, 2.0
1,172,2010,Europe,Romania, 100,1.00,99.0,1.00,1.00,1.00,1.00,1.00,1.00
1,173,2010,Europe,Russia, 100,1.00,73.3,1.00,1.00,1.00,10.0,1.00,16.2
1,174,2010,Sub-Saharan Africa,Rwanda, 100,1.00,93.4,1.00,1.00,1.00, 1.8,1.00, 3.6
1,175,2010,Sub-Saharan Africa,St. Helena, 100,1.00,96.5,1.00,1.00,1.00,1.00,1.00, 3.3
1,176,2010,Latin America-Caribbean,St. Kitts and Nevis, 100,1.00,94.6, 1.3, 1.5,1.00,1.00,1.00, 1.6
1,177,2010,Latin America-Caribbean,St. Lucia, 100,1.00,91.1,1.00,1.00,1.00,1.00, 2.0, 6.0
1,178,2010,North America,St. Pierre and Miquelon, 100,1.00,94.7,1.00,1.00,1.00,1.00, 1.3, 3.8
1,179,2010,Latin America-Caribbean,St. Vincent and the Grenadines, 100,1.00,88.7, 2.0, 3.4,1.00, 1.5, 2.0, 2.5
1,180,2010,Asia-Pacific,Samoa, 100,1.00,96.8,1.00,1.00,1.00,1.00,1.00, 2.5
1,181,2010,Europe,San Marino, 100,1.00,91.6,1.00,1.00,1.00,1.00,1.00, 7.2
1,182,2010,Sub-Saharan Africa,Sao Tome and Principe, 100,1.00,82.2, 2.9,1.00,1.00,1.00, 2.4,12.6
1,183,2010,Middle East-North Africa,Saudi Arabia, 100,1.00, 4.4,1.00, 1.1,1.00,93.0,1.00,1.00
1,184,2010,Sub-Saharan Africa,Senegal, 100,1.00, 3.6,1.00,1.00,1.00,96.4,1.00,1.00
1,185,2010,Europe,Serbia, 100,1.00,92.6,1.00,1.00,1.00, 4.1,1.00, 3.3
1,186,2010,Sub-Saharan Africa,Seychelles, 100,1.00,94.0,1.00, 2.1,1.00, 1.1,1.00, 2.1
1,187,2010,Sub-Saharan Africa,Sierra Leone, 100,1.00,20.9,1.00,1.00,1.00,78.0,1.00,1.00
1,188,2010,Asia-Pacific,Singapore, 100,33.9,18.2, 2.3, 5.2,1.00,14.3, 9.7,16.4
1,189,2010,Europe,Slovakia, 100,1.00,85.3,1.00,1.00,1.00,1.00,1.00,14.3
1,190,2010,Europe,Slovenia, 100,1.00,78.4,1.00,1.00,1.00, 3.6,1.00,18.0
1,191,2010,Asia-Pacific,Solomon Islands, 100,1.00,97.4, 1.3,1.00,1.00,1.00,1.00,1.00
1,192,2010,Sub-Saharan Africa,Somalia, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,193,2010,Sub-Saharan Africa,South Africa, 100,1.00,81.2,1.00, 1.1,1.00, 1.7,1.00,14.9
1,194,2010,Asia-Pacific,South Korea, 100,22.9,29.4,1.00,1.00,1.00,1.00,1.00,46.4
1,195,2010,Europe,Spain, 100,1.00,78.6,1.00,1.00,1.00, 2.1,1.00,19.0
1,196,2010,Asia-Pacific,Sri Lanka, 100,69.3, 7.3,1.00,13.6,1.00, 9.8,1.00,1.00
1,197,2010,Middle East-North Africa,Sudan, 100,1.00, 5.4, 2.8,1.00,1.00,90.7,1.00, 1.0
1,198,2010,Latin America-Caribbean,Suriname, 100,1.00,51.6, 5.3,19.8,1.00,15.2, 1.8, 5.4
1,199,2010,Sub-Saharan Africa,Swaziland, 100,1.00,88.1, 1.0,1.00,1.00,1.00,1.00,10.1
1,200,2010,Europe,Sweden, 100,1.00,67.2,1.00,1.00,1.00, 4.6,1.00,27.0
1,201,2010,Europe,Switzerland, 100,1.00,72.7,1.00,1.00,1.00, 4.9,1.00,20.9
1,202,2010,Middle East-North Africa,Syria, 100,1.00, 5.2,1.00,1.00,1.00,92.8,1.00, 2.0
1,203,2010,Asia-Pacific,Taiwan, 100,21.3, 5.5,44.2,1.00,1.00,1.00,16.2,12.7
1,204,2010,Asia-Pacific,Tajikistan, 100,1.00, 1.6,1.00,1.00,1.00,96.7,1.00, 1.5
1,205,2010,Sub-Saharan Africa,Tanzania, 100,1.00,61.4, 1.8,1.00,1.00,35.2,1.00, 1.4
1,206,2010,Asia-Pacific,Thailand, 100,93.2,1.00,1.00,1.00,1.00, 5.5,1.00,1.00
1,207,2010,Asia-Pacific,Timor-Leste, 100,1.00,99.0,1.00,1.00,1.00,1.00,1.00,1.00
1,208,2010,Sub-Saharan Africa,Togo, 100,1.00,43.7,35.6,1.00,1.00,14.0,1.00, 6.2
1,209,2010,Asia-Pacific,Tokelau, 100,1.00,99.0,1.00,1.00,1.00,1.00,1.00,1.00
1,210,2010,Asia-Pacific,Tonga, 100,1.00,98.9,1.00,1.00,1.00,1.00,1.00,1.00
1,211,2010,Latin America-Caribbean,Trinidad and Tobago, 100,1.00,65.9, 1.9,22.7,1.00, 5.9, 1.4, 1.9
1,212,2010,Middle East-North Africa,Tunisia, 100,1.00,1.00,1.00,1.00,1.00,99.0,1.00,1.00
1,213,2010,Asia-Pacific,Turkey, 100,1.00,1.00,1.00,1.00,1.00,98.0,1.00, 1.2
1,214,2010,Asia-Pacific,Turkmenistan, 100,1.00, 6.4,1.00,1.00,1.00,93.0,1.00,1.00
1,215,2010,Latin America-Caribbean,Turks and Caicos Islands, 100,1.00,92.1, 2.7,1.00,1.00,1.00,1.00, 4.6
1,216,2010,Asia-Pacific,Tuvalu, 100,1.00,96.7,1.00,1.00,1.00,1.00, 1.9, 1.3
1,217,2010,Sub-Saharan Africa,Uganda, 100,1.00,86.7,1.00,1.00,1.00,11.5,1.00,1.00
1,218,2010,Europe,Ukraine, 100,1.00,83.8,1.00,1.00,1.00, 1.2,1.00,14.7
1,219,2010,Middle East-North Africa,United Arab Emirates, 100, 2.0,12.6,1.00, 6.6,1.00,76.9,1.00, 1.1
1,220,2010,Europe,United Kingdom, 100,1.00,64.3,1.00, 1.4,1.00, 4.8,1.00,27.8
1,221,2010,North America,United States, 100, 1.2,78.3,1.00,1.00, 1.8,1.00,1.00,16.4
