"name","w","blank","raw","transmittance"
"sample_4_300C.xls",3298,100,84.7116,84.7116
"sample_4_300C.xls",3297,100,84.7049,84.7049
"sample_4_300C.xls",3296,100,84.7071,84.7071
"sample_4_300C.xls",3295,100,84.7188,84.7188
"sample_4_300C.xls",3294,100,84.737,84.737
"sample_4_300C.xls",3293,100,84.7569,84.7569
"sample_4_300C.xls",3292,100,84.7738,84.7738
"sample_4_300C.xls",3291,100,84.7846,84.7846
"sample_4_300C.xls",3290,100,84.7883,84.7883
"sample_4_300C.xls",3289,100,84.7861,84.7861
"sample_4_300C.xls",3288,100,84.779,84.779
"sample_4_300C.xls",3287,100,84.7678,84.7678
"sample_4_300C.xls",3286,100,84.7519,84.7519
"sample_4_300C.xls",3285,100,84.7313,84.7313
"sample_4_300C.xls",3284,100,84.7063,84.7063
"sample_4_300C.xls",3283,100,84.6788,84.6788
"sample_4_300C.xls",3282,100,84.6512,84.6512
"sample_4_300C.xls",3281,100,84.6264,84.6264
"sample_4_300C.xls",3280,100,84.6073,84.6073
"sample_4_300C.xls",3279,100,84.5967,84.5967
"sample_4_300C.xls",3278,100,84.5969,84.5969
"sample_4_300C.xls",3277,100,84.6084,84.6084
"sample_4_300C.xls",3276,100,84.6294,84.6294
"sample_4_300C.xls",3275,100,84.6559,84.6559
"sample_4_300C.xls",3274,100,84.683,84.683
"sample_4_300C.xls",3273,100,84.7067,84.7067
"sample_4_300C.xls",3272,100,84.7255,84.7255
"sample_4_300C.xls",3271,100,84.7395,84.7395
"sample_4_300C.xls",3270,100,84.7492,84.7492
"sample_4_300C.xls",3269,100,84.7536,84.7536
"sample_4_300C.xls",3268,100,84.7503,84.7503
"sample_4_300C.xls",3267,100,84.7383,84.7383
"sample_4_300C.xls",3266,100,84.7195,84.7195
"sample_4_300C.xls",3265,100,84.6992,84.6992
"sample_4_300C.xls",3264,100,84.6837,84.6837
"sample_4_300C.xls",3263,100,84.677,84.677
"sample_4_300C.xls",3262,100,84.6784,84.6784
"sample_4_300C.xls",3261,100,84.6829,84.6829
"sample_4_300C.xls",3260,100,84.6849,84.6849
"sample_4_300C.xls",3259,100,84.6817,84.6817
"sample_4_300C.xls",3258,100,84.6747,84.6747
"sample_4_300C.xls",3257,100,84.6683,84.6683
"sample_4_300C.xls",3256,100,84.6667,84.6667
"sample_4_300C.xls",3255,100,84.6707,84.6707
"sample_4_300C.xls",3254,100,84.6782,84.6782
"sample_4_300C.xls",3253,100,84.6851,84.6851
"sample_4_300C.xls",3252,100,84.6884,84.6884
"sample_4_300C.xls",3251,100,84.6868,84.6868
"sample_4_300C.xls",3250,100,84.6813,84.6813
"sample_4_300C.xls",3249,100,84.6745,84.6745
"sample_4_300C.xls",3248,100,84.6695,84.6695
"sample_4_300C.xls",3247,100,84.6694,84.6694
"sample_4_300C.xls",3246,100,84.6772,84.6772
"sample_4_300C.xls",3245,100,84.6947,84.6947
"sample_4_300C.xls",3244,100,84.7214,84.7214
"sample_4_300C.xls",3243,100,84.753,84.753
"sample_4_300C.xls",3242,100,84.7826,84.7826
"sample_4_300C.xls",3241,100,84.8012,84.8012
"sample_4_300C.xls",3240,100,84.8014,84.8014
"sample_4_300C.xls",3239,100,84.7795,84.7795
"sample_4_300C.xls",3238,100,84.7374,84.7374
"sample_4_300C.xls",3237,100,84.6831,84.6831
"sample_4_300C.xls",3236,100,84.6285,84.6285
"sample_4_300C.xls",3235,100,84.587,84.587
"sample_4_300C.xls",3234,100,84.5685,84.5685
"sample_4_300C.xls",3233,100,84.5767,84.5767
"sample_4_300C.xls",3232,100,84.607,84.607
"sample_4_300C.xls",3231,100,84.6483,84.6483
"sample_4_300C.xls",3230,100,84.687,84.687
"sample_4_300C.xls",3229,100,84.7117,84.7117
"sample_4_300C.xls",3228,100,84.7177,84.7177
"sample_4_300C.xls",3227,100,84.7073,84.7073
"sample_4_300C.xls",3226,100,84.6875,84.6875
"sample_4_300C.xls",3225,100,84.6667,84.6667
"sample_4_300C.xls",3224,100,84.6509,84.6509
"sample_4_300C.xls",3223,100,84.6431,84.6431
"sample_4_300C.xls",3222,100,84.6429,84.6429
"sample_4_300C.xls",3221,100,84.6485,84.6485
"sample_4_300C.xls",3220,100,84.6574,84.6574
"sample_4_300C.xls",3219,100,84.6673,84.6673
"sample_4_300C.xls",3218,100,84.677,84.677
"sample_4_300C.xls",3217,100,84.6862,84.6862
"sample_4_300C.xls",3216,100,84.6962,84.6962
"sample_4_300C.xls",3215,100,84.709,84.709
"sample_4_300C.xls",3214,100,84.7258,84.7258
"sample_4_300C.xls",3213,100,84.7453,84.7453
"sample_4_300C.xls",3212,100,84.7634,84.7634
"sample_4_300C.xls",3211,100,84.7743,84.7743
"sample_4_300C.xls",3210,100,84.7736,84.7736
"sample_4_300C.xls",3209,100,84.7609,84.7609
"sample_4_300C.xls",3208,100,84.7411,84.7411
"sample_4_300C.xls",3207,100,84.7224,84.7224
"sample_4_300C.xls",3206,100,84.7128,84.7128
"sample_4_300C.xls",3205,100,84.7174,84.7174
"sample_4_300C.xls",3204,100,84.7357,84.7357
"sample_4_300C.xls",3203,100,84.7626,84.7626
"sample_4_300C.xls",3202,100,84.7904,84.7904
"sample_4_300C.xls",3201,100,84.8125,84.8125
"sample_4_300C.xls",3200,100,84.8252,84.8252
"sample_4_300C.xls",3199,100,84.8293,84.8293
"sample_4_300C.xls",3198,100,84.8286,84.8286
"sample_4_300C.xls",3197,100,84.8275,84.8275
"sample_4_300C.xls",3196,100,84.8289,84.8289
"sample_4_300C.xls",3195,100,84.8329,84.8329
"sample_4_300C.xls",3194,100,84.8372,84.8372
"sample_4_300C.xls",3193,100,84.8391,84.8391
"sample_4_300C.xls",3192,100,84.8372,84.8372
"sample_4_300C.xls",3191,100,84.8327,84.8327
"sample_4_300C.xls",3190,100,84.8287,84.8287
"sample_4_300C.xls",3189,100,84.8283,84.8283
"sample_4_300C.xls",3188,100,84.8339,84.8339
"sample_4_300C.xls",3187,100,84.846,84.846
"sample_4_300C.xls",3186,100,84.8633,84.8633
"sample_4_300C.xls",3185,100,84.883,84.883
"sample_4_300C.xls",3184,100,84.9011,84.9011
"sample_4_300C.xls",3183,100,84.9127,84.9127
"sample_4_300C.xls",3182,100,84.9141,84.9141
"sample_4_300C.xls",3181,100,84.904,84.904
"sample_4_300C.xls",3180,100,84.8846,84.8846
"sample_4_300C.xls",3179,100,84.8623,84.8623
"sample_4_300C.xls",3178,100,84.8454,84.8454
"sample_4_300C.xls",3177,100,84.8408,84.8408
"sample_4_300C.xls",3176,100,84.8515,84.8515
"sample_4_300C.xls",3175,100,84.8749,84.8749
"sample_4_300C.xls",3174,100,84.9043,84.9043
"sample_4_300C.xls",3173,100,84.9317,84.9317
"sample_4_300C.xls",3172,100,84.9508,84.9508
"sample_4_300C.xls",3171,100,84.9582,84.9582
"sample_4_300C.xls",3170,100,84.9546,84.9546
"sample_4_300C.xls",3169,100,84.9433,84.9433
"sample_4_300C.xls",3168,100,84.9291,84.9291
"sample_4_300C.xls",3167,100,84.9168,84.9168
"sample_4_300C.xls",3166,100,84.9106,84.9106
"sample_4_300C.xls",3165,100,84.9138,84.9138
"sample_4_300C.xls",3164,100,84.928,84.928
"sample_4_300C.xls",3163,100,84.9536,84.9536
"sample_4_300C.xls",3162,100,84.9891,84.9891
"sample_4_300C.xls",3161,100,85.0317,85.0317
"sample_4_300C.xls",3160,100,85.0769,85.0769
"sample_4_300C.xls",3159,100,85.1188,85.1188
"sample_4_300C.xls",3158,100,85.151,85.151
"sample_4_300C.xls",3157,100,85.1685,85.1685
"sample_4_300C.xls",3156,100,85.1692,85.1692
"sample_4_300C.xls",3155,100,85.155,85.155
"sample_4_300C.xls",3154,100,85.1308,85.1308
"sample_4_300C.xls",3153,100,85.1026,85.1026
"sample_4_300C.xls",3152,100,85.0756,85.0756
"sample_4_300C.xls",3151,100,85.0533,85.0533
"sample_4_300C.xls",3150,100,85.0373,85.0373
"sample_4_300C.xls",3149,100,85.0291,85.0291
"sample_4_300C.xls",3148,100,85.0301,85.0301
"sample_4_300C.xls",3147,100,85.041,85.041
"sample_4_300C.xls",3146,100,85.0599,85.0599
"sample_4_300C.xls",3145,100,85.0816,85.0816
"sample_4_300C.xls",3144,100,85.0981,85.0981
"sample_4_300C.xls",3143,100,85.1023,85.1023
"sample_4_300C.xls",3142,100,85.0912,85.0912
"sample_4_300C.xls",3141,100,85.068,85.068
"sample_4_300C.xls",3140,100,85.0409,85.0409
"sample_4_300C.xls",3139,100,85.0199,85.0199
"sample_4_300C.xls",3138,100,85.0126,85.0126
"sample_4_300C.xls",3137,100,85.0216,85.0216
"sample_4_300C.xls",3136,100,85.0438,85.0438
"sample_4_300C.xls",3135,100,85.0726,85.0726
"sample_4_300C.xls",3134,100,85.1007,85.1007
"sample_4_300C.xls",3133,100,85.1226,85.1226
"sample_4_300C.xls",3132,100,85.136,85.136
"sample_4_300C.xls",3131,100,85.1421,85.1421
"sample_4_300C.xls",3130,100,85.1446,85.1446
"sample_4_300C.xls",3129,100,85.1481,85.1481
"sample_4_300C.xls",3128,100,85.1559,85.1559
"sample_4_300C.xls",3127,100,85.1687,85.1687
"sample_4_300C.xls",3126,100,85.1846,85.1846
"sample_4_300C.xls",3125,100,85.1997,85.1997
"sample_4_300C.xls",3124,100,85.21,85.21
"sample_4_300C.xls",3123,100,85.2135,85.2135
"sample_4_300C.xls",3122,100,85.2099,85.2099
"sample_4_300C.xls",3121,100,85.2017,85.2017
"sample_4_300C.xls",3120,100,85.1922,85.1922
"sample_4_300C.xls",3119,100,85.1845,85.1845
"sample_4_300C.xls",3118,100,85.1803,85.1803
"sample_4_300C.xls",3117,100,85.1804,85.1804
"sample_4_300C.xls",3116,100,85.1841,85.1841
"sample_4_300C.xls",3115,100,85.1906,85.1906
"sample_4_300C.xls",3114,100,85.1989,85.1989
"sample_4_300C.xls",3113,100,85.2079,85.2079
"sample_4_300C.xls",3112,100,85.2165,85.2165
"sample_4_300C.xls",3111,100,85.224,85.224
"sample_4_300C.xls",3110,100,85.2304,85.2304
"sample_4_300C.xls",3109,100,85.2363,85.2363
"sample_4_300C.xls",3108,100,85.2424,85.2424
"sample_4_300C.xls",3107,100,85.2487,85.2487
"sample_4_300C.xls",3106,100,85.2553,85.2553
"sample_4_300C.xls",3105,100,85.262,85.262
"sample_4_300C.xls",3104,100,85.2692,85.2692
"sample_4_300C.xls",3103,100,85.2774,85.2774
"sample_4_300C.xls",3102,100,85.2868,85.2868
"sample_4_300C.xls",3101,100,85.2957,85.2957
"sample_4_300C.xls",3100,100,85.3006,85.3006
"sample_4_300C.xls",3099,100,85.297,85.297
"sample_4_300C.xls",3098,100,85.2824,85.2824
"sample_4_300C.xls",3097,100,85.2585,85.2585
"sample_4_300C.xls",3096,100,85.2314,85.2314
"sample_4_300C.xls",3095,100,85.2096,85.2096
"sample_4_300C.xls",3094,100,85.2004,85.2004
"sample_4_300C.xls",3093,100,85.2069,85.2069
"sample_4_300C.xls",3092,100,85.2274,85.2274
"sample_4_300C.xls",3091,100,85.2565,85.2565
"sample_4_300C.xls",3090,100,85.2884,85.2884
"sample_4_300C.xls",3089,100,85.3185,85.3185
"sample_4_300C.xls",3088,100,85.3445,85.3445
"sample_4_300C.xls",3087,100,85.3645,85.3645
"sample_4_300C.xls",3086,100,85.3774,85.3774
"sample_4_300C.xls",3085,100,85.3824,85.3824
"sample_4_300C.xls",3084,100,85.3805,85.3805
"sample_4_300C.xls",3083,100,85.3756,85.3756
"sample_4_300C.xls",3082,100,85.3734,85.3734
"sample_4_300C.xls",3081,100,85.3792,85.3792
"sample_4_300C.xls",3080,100,85.3953,85.3953
"sample_4_300C.xls",3079,100,85.42,85.42
"sample_4_300C.xls",3078,100,85.4479,85.4479
"sample_4_300C.xls",3077,100,85.473,85.473
"sample_4_300C.xls",3076,100,85.4907,85.4907
"sample_4_300C.xls",3075,100,85.4992,85.4992
"sample_4_300C.xls",3074,100,85.4988,85.4988
