w   Int   P
394.88995   250.88345  0
395.22055   253.63373  0
395.55115   257.78055  0
395.88174   261.10654  0
396.21234   253.49834  0
396.54294   252.67012  0
396.87354   259.18936  0
397.20413   269.72479  0
397.5347    265.83163  0
397.8653    263.19174  0
398.19589   262.02664  0
398.52649   265.62064  0
398.85709   279.68863  0
399.18768   269.64734  0
399.51828   267.24619  0
399.84888   267.78854  0
400.17947   267.91516  0
400.51007   270.98331  0
400.84067   274.13608  0
401.17123   277.88672  0
401.50183   280.98843  0
401.83243   281.24951  0
402.16302   271.69235  0
402.49362   267.30762  0
402.82422   271.50656  0
403.15482   281.74973  0
403.48541   278.42978  0
403.81601   282.05811  0
404.14661   282.10947  0
404.4772    280.37985  0
404.80777   282.13669  0
405.13837   288.60602  0
405.46896   293.47952  0
405.79956   293.69797  0
406.13016   289.47086  0
406.46075   286.87308  0
406.79135   284.00708  0
407.12195   286.23679  0
407.45255   291.37192  0
407.78314   296.11862  0
408.11374   305.53455  0
408.44431   300.01361  0
408.7749    303.07172  0
409.1055    315.37747  0
409.4361    311.31482  0
409.76669   307.34201  0
410.09729   314.25143  0
410.42789   321.26453  0
410.75848   318.87161  0
411.08908   322.51999  0
411.41968   324.15533  0
411.75027   329.13882  0
412.08084   334.49411  0
412.41144   330.38412  0
412.74203   344.36459  0
413.07263   349.349  0
413.40323   346.14566  0
413.73383   340.9985  0
414.06442   359.9899  0
414.39502   352.17383  0
414.72562   352.39261  0
415.05621   363.806  0
415.38681   378.38266  0
415.71738   394.31223  0
416.04797   406.20886  0
416.37857   415.93304  0
416.70917   426.5925  0
417.03976   445.80096  0
417.37036   448.95947  0
417.70096   468.74606  0
418.03156   497.61313  0
418.36215   521.1402  0
418.69275   552.45917  0
419.02332   588.99042  0
419.35391   622.52576  0
419.68451   651.16919  0
420.01511   678.88086  0
420.3457    721.16736  0
420.6763    764.90051  0
421.0069    811.93768  0
421.33749   860.30524  0
421.66809   876.96973  0
421.99869   885.31805  0
422.32928   896.57043  0
422.65985   899.73224  0
422.99045   869.96924  0
423.32104   848.28876  0
423.65164   825.52411  0
423.98224   802.97559  0
424.31284   780.15002  0
424.64343   751.09473  0
424.97403   719.16125  0
425.30463   699.27197  0
425.63522   684.80457  0
425.96582   665.43567  0
426.29639   661.52283  0
426.62698   628.00653  0
426.95758   603.84399  0
427.28818   599.013  0
427.61877   597.40509  0
427.94937   583.31476  0
428.27997   560.51422  0
428.61057   542.11395  0
428.94116   536.93915  0
429.27176   530.12518  0
429.60236   508.1217  0
429.93292   493.20081  0
430.26352   485.27515  0
430.59412   474.59378  0
430.92471   455.35748  0
431.25531   450.60602  0
431.58591   442.81937  0
431.9165    427.85867  0
432.2471    426.81085  0
432.5777    404.05295  0
432.90829   395.46863  0
433.23889   392.46368  0
433.56946   381.92419  0
433.90005   375.04382  0
434.23065   371.85764  0
434.56125   369.9639  0
434.89185   367.34702  0
435.22244   361.53641  0
435.55304   360.11807  0
435.88364   359.39966  0
436.21423   358.51254  0
436.54483   356.6615  0
436.87543   352.57919  0
437.20599   349.69043  0
437.53659   343.63223  0
437.86719   336.79932  0
438.19778   332.95108  0
438.52838   329.23425  0
438.85898   333.86984  0
439.18958   332.22324  0
439.52017   321.60974  0
439.85077   309.3519  0
440.18137   319.68765  0
440.51196   321.18161  0
440.84253   318.15405  0
441.17313   316.09445  0
441.50372   318.70547  0
441.83432   323.12891  0
442.16492   321.12976  0
442.49551   314.15417  0
442.82611   307.28043  0
443.15671   313.38144  0
443.4873    308.16653  0
443.8179    305.96133  0
444.1485    308.95563  0
444.47906   306.81601  0
444.80966   294.31766  0
445.14026   299.64066  0
445.47086   306.7897  0
445.80145   304.47842  0
446.13205   309.39081  0
446.46265   309.83755  0
446.79324   303.15591  0
447.12384   293.71628  0
447.45444   288.76978  0
447.78503   296.65646  0
448.1156    296.78818  0
448.4462    294.50882  0
448.77679   292.83432  0
449.10739   293.36676  0
449.43799   285.22006  0
449.76859   290.75476  0
450.09918   294.55936  0
450.42978   286.93082  0
450.76038   285.57404  0
451.09097   281.7175  0
451.42157   282.19986  0
451.75214   281.88742  0
452.08273   273.92566  0
452.41333   284.72626  0
452.74393   280.79904  0
453.07452   274.13101  0
453.40512   269.43069  0
453.73572   266.50513  0
454.06631   278.84341  0
454.39691   279.70816  0
454.72751   275.78473  0
455.05807   272.72849  0
455.38867   270.40714  0
455.71927   272.0401  0
456.04987   279.8938  0
456.38046   284.98193  0
456.71106   279.02533  0
457.04166   287.20581  0
457.37225   289.15244  0
457.70285   287.54807  0
458.03345   285.71799  0
458.36404   288.39575  0
458.69461   287.1745  0
459.02521   274.51007  0
459.3558    265.29523  0
459.6864    265.81757  0
460.017 267.24115  0
460.3476    261.70062  0
460.67819   259.12512  0
461.00879   257.02866  0
461.33939   253.41339  0
461.66998   258.25217  0
462.00058   262.46878  0
462.33115   260.74228  0
462.66174   254.55437  0
462.99234   248.39847  0
463.32294   246.81685  0
463.65353   248.72171  0
463.98413   250.20871  0
464.31473   248.33167  0
464.64532   240.1866  0
464.97592   236.37254  0
465.30652   234.84583  0
465.63712   232.52206  0
465.96768   226.7238  0
466.29828   214.94763  0
466.62888   226.31897  0
466.95947   225.34578  0
467.29007   222.96255  0
467.62067   234.96953  0
467.95126   236.4514  0
468.28186   239.41798  0
468.61246   235.34676  0
468.94305   228.33801  0
469.27365   229.75443  0
469.60422   223.70813  0
469.93481   225.32788  0
470.26541   231.0811  0
470.59601   236.96971  0
470.92661   237.13786  0
471.2572    228.55339  0
471.5878    227.17268  0
471.9184    227.76891  0
472.24899   224.72214  0
472.57959   214.67755  0
472.91019   205.33456  0
473.24075   207.92198  0
473.57135   216.82761  0
473.90195   222.87982  0
474.23254   223.99828  0
474.56314   222.0275  0
474.89374   216.71359  0
475.22433   213.09358  0
475.55493   219.94672  0
475.88553   222.39172  0
476.21613   221.87454  0
476.54672   220.12076  0
476.87729   216.68808  0
477.20789   213.66232  0
477.53848   209.89365  0
477.86908   210.06786  0
478.19968   213.05603  0
478.53027   215.04759  0
478.86087   208.11259  0
479.19147   215.14841  0
479.52206   218.42638  0
479.85266   214.93979  0
480.18326   209.55992  0
480.51382   219.76994  0
480.84442   209.17569  0
481.17502   205.64168  0
481.50562   209.04897  0
481.83621   205.90074  0
482.16681   206.60649  0
482.49741   206.8654  0
482.828 207.97701  0
483.1586    209.02336  0
483.4892    201.51535  0
483.81979   205.12877  0
484.15036   212.50865  0
