time    temperature
-14153.775884613187     -3.273947651372488
-14129.27434252164      -3.270452328572251
-14105.510233119283     -3.2787241281873185
-14084.691117411929     -3.243320662309804
-14067.518236561029     -3.235664454492286
-14050.699552584498     -3.2204482127805014
-14034.069928126075     -3.205233008469012
-14015.96183285894      -3.197571668978039
-13992.163049453558     -3.2008019600445095
-13961.948839686906     -3.1821513360484226
-13933.525228520575     -3.176954052789016
-13911.844599182732     -3.163727660107757
-13891.794608979792     -3.145036783725661
-13870.070368980887     -3.106027409650731
-13846.20939418486      -3.1008551623184193
-13824.262925453026     -3.0815777289891604
-13804.396026829978     -3.087518298032523
-13786.155378424199     -3.0677570673128374
-13769.670314105839     -3.060104633656389
-13746.725381515918     -3.044854776223079
-13734.929046417703     -3.0750379575360034
-13713.793095166307     -3.0511557663571445
-13691.285450345062     -3.0337477434128535
-13668.04261664743      -3.036861053677921
-13650.910068493726     -3.029205067172465
-13634.899428160355     -3.0291172141875706
-13615.390008518745     -3.0259853718601093
-13599.836165950284     -3.006238884080602
-13581.933746170413     -2.9834547183043165
-13559.851799889362     -2.975771573647165
-13538.09251518588      -2.9680901994865154
-13522.747364356244     -2.9680059981506552
-13505.908617956451     -2.9754755786432896
-13488.954480599386     -2.975382548536928
-13472.790860562625     -2.97277319698419
-13449.561969317516     -2.9423978265634725
-13434.34272040513      -2.9297110203551147
-13417.705482811747     -2.9296197291292456
-13401.068245218366     -2.9295284379033766
-13384.836135163785     -2.929439369678138
-13369.15720999641      -2.9142293820081258
-13350.698775176621     -2.8914421652869757
-13324.844395384152     -2.8795372221019497
-13301.757824110791     -2.868487686046429
-13284.843299224187     -2.868394873300129
-13268.294289405922     -2.8683040661943973
-13251.664664947497     -2.8530888618829073
-13227.937036828527     -2.83459386220203
-13204.999785045875     -2.8377088492447156
-13188.133392090276     -2.8421534870641807
-13165.240215928103     -2.8173254088820503
-13139.570451905809     -2.8165543899302357
-13119.97604007144      -2.806994400421248
-13103.338802478058     -2.806903109195379
-13086.70156488468      -2.80681181796951
-13070.064327291297     -2.806720526743641
-13052.997370524768     -2.7839409452886548
-13035.172991420379     -2.7384712754440415
-13015.502922546826     -2.725399952700057
-12990.531132089713     -2.7058178436082723
-12968.09230586528      -2.6927313282428402
-12944.960798297805     -2.688283271942407
-12922.52698822586      -2.6546714167912424
-12898.197443099722     -2.614567464493764
-12873.196975350049     -2.5838222789815863
-12850.332841887895     -2.5680687330775482
-12835.714933962407     -2.548327380923496
-12811.324866427418     -2.5330695937999397
-12785.506876882964     -2.50721720303422
-12767.769625878638     -2.488971130023881
-12753.978866939753     -2.457135152682609
-12737.44827365748      -2.441920491771273
-12720.175846837494     -2.4267017602987835
-12699.938881377584     -2.4190287393511674
-12683.993093675332     -2.373569377642808
-12666.557226140587     -2.3432257944844315
-12649.370042263441     -2.3053215984636255
-12629.750138942889     -2.282528008576098
-12612.940406010519     -2.259749838550083
-12594.077129187648     -2.21319418561488
-12572.824957072462     -2.1939925808366323
-12551.796660613276     -2.170182999209777
-12537.548557697253     -2.138344512347794
-12518.974115618792     -2.130680613936097
-12504.03702398913      -2.1154746968272384
-12483.214796046015     -2.057025187418849
-12465.707119040013     -2.0283016339652504
-12442.88300388078      -1.9998189789741998
-12418.235309268675     -1.9788882951364637
-12398.412474181761     -1.971217546589492
-12382.345861596808     -1.963567409045694
-12365.696996450326     -1.9407901217273573
-12346.264695046153     -1.9179975612420268
-12323.229999164161     -1.8595359116625785
-12297.959152336316     -1.8269887717197864
-12277.164216590085     -1.8117507116684863
-12261.301544986622     -1.808638879640029
-12240.789644651908     -1.7939065044786902
-12221.537126019914     -1.7811975670640603
-12204.82786575297      -1.7811058806380795
-12189.36926229439      -1.7860623750559208
-12173.611130312609     -1.7922775554837655
-12154.714694920645     -1.773268924097343
-12137.075518012647     -1.7504862027774664
-12120.762227770741     -1.7428347116732854
-12106.46306851314      -1.7301529541463574
-12085.222844934178     -1.735077723875209
-12057.728205413418     -1.7122409240306755
-12036.204829607635     -1.7121228217705426
-12018.600893055453     -1.7044642486803538
-11995.028578931779     -1.6948824317751812
-11971.963364046082     -1.6764810904041783
-11955.13636201469      -1.636058211616326
-11934.845712540344     -1.6603132452449625
-11908.356366678774     -1.6383221813245274
-11887.947026147842     -1.6130036005234052
-11870.804034706474     -1.6053475567139333
-11854.777600139154     -1.590135662203381
-11838.140362545771     -1.5900443709775125
-11821.188025755548     -1.5899513507511536
-11806.073294310214     -1.5520585266135702
-11793.832616259666     -1.5865603997045552
-11768.584670984734     -1.5821007301665455
-11752.304561926896     -1.5593254662727825
-11733.245489428866     -1.5486341176432044
-11712.374558138037     -1.5256176066639364
-11689.342647639149     -1.5211700968688016
-11672.680716902954     -1.52864064757771
-11655.59105365931      -1.5330840602768285
-11637.93739004308      -1.5133260504380557
-11621.660471251322     -1.5056747589099304
-11605.34733568898      -1.5055852460845651
-11588.430804801737     -1.5130543997610788
-11568.717715673509     -1.5174834172961171
-11555.353002268039     -1.497748941624014
-11538.715764674658     -1.4976576503981454
-11519.182700811052     -1.489988491872957
-11505.87723209676      -1.4899154826042684
-11493.849445611502     -1.4898494841855667
-11472.166814301136     -1.4972924854946692
-11455.556585210341     -1.4972013424688422
-11438.852932077712     -1.4895477093800542
-11422.876297080484     -1.4970220204180285
-11406.046193401517     -1.5044916483346755
-11392.863627270988     -1.5271052457426277
-11374.605073899662     -1.5345670355237218
-11355.7159273795       -1.5344633877076843
-11333.009442204557     -1.5393801118209218
-11312.946857816309     -1.541790684304
-11295.106914080448     -1.5522795620362038
-11275.133093206443     -1.570318708267906
-11255.77263723883      -1.5717248697863662
-11231.69434973497      -1.5976395594586288
-11209.042115195794     -1.5865924066793387
-11192.741378167528     -1.5940649393168096
-11172.668248177522     -1.609078749651231
-11148.208937367444     -1.6240684922988327
-11121.947561259945     -1.656332866561499
-11096.325598719473     -1.6713162295501496
-11072.274373234563     -1.706833578738411
-11048.839999046033     -1.7021678040616166
-11033.450345615865     -1.7141825224208609
-11008.949913135382     -1.7258111605693691
-10986.896673878207     -1.7366130071502583
-10970.90223864639      -1.7365252430853886
-10951.275165858835     -1.7560786874661933
-10928.170091924572     -1.7481738722433708
-10904.354677972105     -1.7512840406675476
-10885.053362770333     -1.7496657357289735
-10872.012690974201     -1.7586685523600765
-10860.554862441739     -1.7888535911135266
-10835.897849392724     -1.8038422489368209
-10814.338435894791     -1.8166873388121263
-10788.731308609475     -1.8489553030443808
-10765.951077131102     -1.8488303042129606
-10739.683859184526     -1.8453252928624218
-10708.981091587413     -1.863641655506012
-10684.362146630056     -1.8559445899249156
-10667.724909036675     -1.855853298699047
-10652.247441921481     -1.8482063938921645
-10635.781463611618     -1.840554064963746
-10612.664602265679     -1.817741286699352
-10580.557603338677     -1.8209259892373484
-10554.659220700321     -1.799778387742589
-10535.864766272196     -1.7870719638006718
-10518.144873215575     -1.7794127544383032
-10499.737163626412     -1.7717497709148646
-10483.326488095627     -1.756535768011715
-10462.149729865414     -1.7538989085551826
-10441.398692502653     -1.7134544979478958
-10419.7800566408       -1.6805673041167437
-10402.745819436512     -1.6729118570594408
-10385.514960333392     -1.6652553311058322
-10366.393522967286     -1.6525471129554066
-10346.789841436184     -1.6196709755060539
-10329.49308078113      -1.5943694739364371
-10307.217358060792     -1.561478674562931
-10284.725478701255     -1.5406858529909266
-10267.541279656389     -1.5254676056385748
-10254.71574135856      -1.4981741110778257
-10236.243053461132     -1.5196783982381028
-10209.133071947876     -1.5096870675668868
-10181.235877510288     -1.4952502559826355
-10159.070658034012     -1.4598394038150273
-10138.13126607305      -1.4597245059691364
-10121.21445724596      -1.4641688671485218
-10103.510583192035     -1.4368486043668556
-10087.271887171499     -1.4140735677131566
-10070.138103998124     -1.3988555970008827
-10052.237762724937     -1.379096233601727
-10038.243016078444     -1.3709533328942962
-10018.634259124039     -1.3481598041686906
-10003.177077589608     -1.3228683966686017
-9986.542256864466      -1.3000911864142868
-9967.285347588504      -1.2722582700473515
-9941.653697434498      -1.2587941409749153
-9919.720852934202      -1.2543526619334893
-9903.588390357174      -1.2315782081999558
-9886.65405923534       -1.2314852867736246
-9870.627624668017      -1.216273392263072
-9852.53517862274       -1.2025625566978722
-9839.257581232998      -1.1707293951573972
-9822.817016292682      -1.1555152282462018
-9802.86957553552       -1.1569181688837489
-9784.43259283823       -1.1265690924438152
-9767.319304707533      -1.0992520703030673
-9747.946305193756      -1.0719226487588056
-9725.796432830806      -1.0239085850865273
-9705.555282160729      -0.9935496088837876
-9687.26107595474       -0.9657219750250166
-9669.342656507117      -0.9353757440258894
-9652.082112622646      -0.9025124637535127
-9631.452059655889      -0.8625728488359359
-9606.812246383979      -0.8291649454847869
-9583.884660731585      -0.7836672735166834
-9567.11520836111       -0.7457653696565263
-9547.150454771121      -0.7481764789530896
-9524.068721598029      -0.7247337286568492
-9497.93452109734       -0.6867804389021313
-9477.503256550388      -0.6620919025862095
-9461.507637053131      -0.6393181997328892
-9442.515608480087      -0.5884407103558766
-9420.476589807102      -0.5407873491191433
-9404.613628179446      -0.49532844189091296
-9385.963852317931      -0.454895561246893
-9365.887592483556      -0.43678069138040065
-9347.992072862507      -0.396712043626259
-9334.598735680844      -0.37899393820552874
-9322.554897162358      -0.35120060112980855
-9306.206366564635      -0.32842496179593894
-9289.576742106212      -0.313209757484449
-9272.543790675825      -0.2979923400523319
-9256.051625598575      -0.2600919577126062
-9240.812244173745      -0.23732240446046138
-9224.544243625794      -0.2548777533017379
-9204.092684434818      -0.23712091827003334
-9186.890101078867      -0.19165466031972045
-9169.445025276125      -0.16887300406414596
-9152.996847200851      -0.16878275023857103
-9130.282361185005      -0.14786267423050692
-9106.813726479326      -0.14281861268918572
-9090.251926594332      -0.12306659408411136
-9067.586254267744      -0.12798354214407937
-9044.285066437335      -0.10769041159367188
-9020.694176667177      -0.10251964626178012
-9005.648124561014      -0.07723049469566323
-8989.998419330666      -0.04689671250006455
-8970.30305793098       -0.04830103633800409
-8954.443447693951      -0.016453706873514662
-8931.23259736323       -0.006873873378903994
-8906.479319847984      0.00044583043526014166
-8886.43022319576       0.021729379890319755
-8869.79298560238       0.02182067111618924
-8852.75242103704       0.021914175462685037
-8836.138230699198      0.022005340224517944
-8818.482283142483      0.03722617613760448
-8795.099948960902      0.0751643659547101
-8773.517222927367      0.07780345302254066
-8750.308910308295      0.0924245908790251
-8732.559620279048      0.1314661678821274
-8710.526713980933      0.14152566492694518
-8686.458317798066      0.1468430880794429
-8665.89696661282       0.1655367703823334
-8640.533901875482      0.18692149727634977
-8620.68877359592       0.20467500472311162
-8603.755008021253      0.21232990047625844
-8586.209049721288      0.21998815543035644
-8568.685778563498      0.22764628589641944
-8550.695799675388      0.252951591267113
-8530.851289308472      0.25810179960651336
-8514.440923136819      0.2581918459520294
-8496.858624805993      0.2537511364216778
-8478.611254284013      0.2735124040267074
-8455.983409973502      0.2912811806884621
-8435.429270838174      0.288873305446149
-8417.02519380198       0.28443710514907483
-8396.183983085168      0.3031323230866878
-8370.069379357798      0.31443853722383075
-8345.929558388536      0.3379771169605599
-8323.956175411975      0.3424188184431918
-8306.863754521668      0.3425126073337683
-8293.657471663095      0.3350230949234865
-8276.996246652428      0.32323141038210945
-8252.948939371296      0.3397836557124734
-8232.88646777023       0.345943323697921
-8211.529604403651      0.35815967616534916
-8183.4234465789195     0.3647955941600367
-8159.906392133507      0.37356689597886916
-8139.974922847299      0.38123824061934375
-8123.148625735812      0.3813305692455069
-8106.428972935433      0.3965462675571363
-8086.8833566638095     0.40169483581607146
-8071.891321562818      0.4269836909821043
-8054.977002110016      0.43463848003121974
-8038.616846376057      0.4271662734338424
-8016.703947944081      0.427286513067914
-7991.3562291691815     0.4328270125693381
-7972.244556986567      0.43509244639985933
-7953.09660899273       0.435197514301632
-7936.40360458157       0.4504130663892205
-7913.537159787753      0.4606211748605311
-7893.175081115269      0.45821224575125274
-7882.000557877949      0.45071158474581097
-7862.758851710243      0.4527076614714334
-7839.138217341244      0.4786740279494497
-7817.558865255773      0.49946184233603574
-7798.647562498829      0.514689566587073
-7774.098125290997      0.5226023072658554
-7751.12460494773       0.519487519234656
-7734.676426872455      0.5195777730602309
-7718.039189279074      0.5196690642860995
-7701.824930213314      0.5273200119901276
-7678.198765848374      0.5463545961679044
-7664.108816747834      0.5275269664327711
-7642.188007100487      0.5310081283347747
-7616.700302741656      0.5429110595121189
-7598.71824715326       0.5505717074028951
-7586.929730623804      0.5430744154784088
-7566.574322507662      0.5431861089100591
-7542.559957140642      0.5357559022045821
-7525.189405470095      0.5313140307859019
-7504.751304207106      0.5495749238004395
-7485.72367516488       0.5511917269785886
-7466.719175551718      0.5558331942138288
-7455.210653207912      0.5286732245975836
-7440.428341848483      0.5413576332585954
-7416.795281755643      0.5319088069544415
-7392.610756780163      0.544140675260552
-7370.922929203074      0.5442596798942736
-7352.414439430779      0.5494025572715966
-7328.439944333499      0.5293688360746964
-7301.59958327033       0.5416152773849374
-7281.479082662812      0.5326513089248426
-7259.027415962682      0.5427131037760242
-7238.782930014433      0.5449847535397359
-7217.636734694366      0.5515824810893157
-7197.002234690044      0.5326107152866726
-7174.756212978606      0.5604600333992087
-7146.9125408554555     0.5714156410522406
-7120.506618763837      0.5585971447570408
-7097.680840195037      0.5608829584927664
-7082.969283458968      0.5534017057648235
-7058.061191098852      0.5442959636556672
-7031.553413739724      0.5569246804659773
-7019.928453589433      0.5764335533312943
-7003.003666076065      0.5632929618876821
-6981.3149182763955     0.549422313325195
-6959.150912067978      0.565424083431572
-6934.144579384705      0.5743836042437396
-6907.252992799176      0.5921757767521241
-6884.276164799088      0.5998638317706675
-6869.106594613384      0.6075090470970705
-6848.017086937894      0.6051041095089236
-6831.068882992362      0.6026764479143374
-6807.037134971875      0.5960865563047557
-6779.122598161957      0.6054821447627123
-6761.216629613884      0.6081010568648271
-6744.4137398713065     0.6081932570509538
-6731.547952661045      0.6032225354290803
-6708.655862478336      0.5796539520998509
-6676.875492820933      0.5891187655658676
-6660.30504538137       0.5859688428332834
-6644.635504913378      0.5754680557457039
-6624.230741125273      0.5660015152551976
-6599.773462498575      0.5484911023133199
-6576.087700579694      0.5410590925073331
-6562.434670905601      0.5436546680428345
-6544.772127312644      0.5204354882132787
-6521.538037786762      0.508589846506613
-6504.26720667526       0.5036432960763513
-6482.827008828584      0.4961989644954432
