t(ns)	MSD(A2)
0.476000	3.293216e+03
0.477000	3.300123e+03
0.478000	3.307032e+03
0.479000	3.313940e+03
0.480000	3.320848e+03
0.481000	3.327758e+03
0.482000	3.334668e+03
0.483000	3.341578e+03
0.484000	3.348490e+03
0.485000	3.355403e+03
0.486000	3.362314e+03
0.487000	3.369225e+03
0.488000	3.376134e+03
0.489000	3.383042e+03
0.490000	3.389948e+03
0.491000	3.396855e+03
0.492000	3.403762e+03
0.493000	3.410669e+03
0.494000	3.417577e+03
0.495000	3.424485e+03
0.496000	3.431390e+03
0.497000	3.438297e+03
0.498000	3.445204e+03
0.499000	3.452110e+03
0.500000	3.459016e+03
0.501000	3.465922e+03
0.502000	3.472827e+03
0.503000	3.479732e+03
0.504000	3.486636e+03
0.505000	3.493540e+03
0.506000	3.500445e+03
0.507000	3.507351e+03
0.508000	3.514258e+03
0.509000	3.521166e+03
0.510000	3.528072e+03
0.511000	3.534977e+03
0.512000	3.541881e+03
0.513000	3.548785e+03
0.514000	3.555690e+03
0.515000	3.562597e+03
0.516000	3.569504e+03
0.517000	3.576413e+03
0.518000	3.583322e+03
0.519000	3.590232e+03
0.520000	3.597144e+03
0.521000	3.604057e+03
0.522000	3.610970e+03
0.523000	3.617882e+03
0.524000	3.624793e+03
0.525000	3.631701e+03
0.526000	3.638606e+03
0.527000	3.645511e+03
0.528000	3.652415e+03
0.529000	3.659319e+03
0.530000	3.666225e+03
0.531000	3.673129e+03
0.532000	3.680035e+03
0.533000	3.686943e+03
0.534000	3.693850e+03
0.535000	3.700755e+03
0.536000	3.707659e+03
0.537000	3.714562e+03
0.538000	3.721463e+03
0.539000	3.728365e+03
0.540000	3.735267e+03
0.541000	3.742170e+03
0.542000	3.749072e+03
0.543000	3.755972e+03
0.544000	3.762873e+03
0.545000	3.769774e+03
0.546000	3.776677e+03
0.547000	3.783578e+03
0.548000	3.790480e+03
0.549000	3.797383e+03
0.550000	3.804283e+03
0.551000	3.811183e+03
0.552000	3.818086e+03
0.553000	3.824989e+03
0.554000	3.831894e+03
0.555000	3.838800e+03
0.556000	3.845706e+03
0.557000	3.852611e+03
0.558000	3.859513e+03
0.559000	3.866416e+03
0.560000	3.873318e+03
0.561000	3.880222e+03
0.562000	3.887126e+03
0.563000	3.894030e+03
0.564000	3.900932e+03
0.565000	3.907835e+03
0.566000	3.914738e+03
0.567000	3.921643e+03
0.568000	3.928546e+03
0.569000	3.935449e+03
0.570000	3.942351e+03
0.571000	3.949253e+03
0.572000	3.956155e+03
0.573000	3.963058e+03
0.574000	3.969961e+03
0.575000	3.976865e+03
0.576000	3.983768e+03
0.577000	3.990670e+03
0.578000	3.997573e+03
0.579000	4.004475e+03
0.580000	4.011377e+03
0.581000	4.018280e+03
0.582000	4.025182e+03
0.583000	4.032085e+03
0.584000	4.038987e+03
0.585000	4.045889e+03
0.586000	4.052793e+03
0.587000	4.059695e+03
0.588000	4.066597e+03
0.589000	4.073498e+03
0.590000	4.080400e+03
0.591000	4.087303e+03
0.592000	4.094207e+03
0.593000	4.101111e+03
0.594000	4.108016e+03
0.595000	4.114920e+03
0.596000	4.121824e+03
0.597000	4.128728e+03
0.598000	4.135632e+03
0.599000	4.142538e+03
0.600000	4.149442e+03
0.601000	4.156345e+03
0.602000	4.163248e+03
0.603000	4.170150e+03
0.604000	4.177053e+03
0.605000	4.183954e+03
0.606000	4.190858e+03
0.607000	4.197761e+03
0.608000	4.204663e+03
0.609000	4.211566e+03
0.610000	4.218468e+03
0.611000	4.225369e+03
0.612000	4.232271e+03
0.613000	4.239173e+03
0.614000	4.246073e+03
0.615000	4.252973e+03
0.616000	4.259873e+03
0.617000	4.266776e+03
0.618000	4.273677e+03
0.619000	4.280578e+03
0.620000	4.287480e+03
0.621000	4.294383e+03
0.622000	4.301287e+03
0.623000	4.308190e+03
0.624000	4.315092e+03
0.625000	4.321995e+03
0.626000	4.328897e+03
0.627000	4.335799e+03
0.628000	4.342704e+03
0.629000	4.349607e+03
0.630000	4.356510e+03
0.631000	4.363413e+03
0.632000	4.370316e+03
0.633000	4.377220e+03
0.634000	4.384121e+03
0.635000	4.391022e+03
0.636000	4.397922e+03
0.637000	4.404823e+03
0.638000	4.411723e+03
0.639000	4.418623e+03
0.640000	4.425523e+03
0.641000	4.432424e+03
0.642000	4.439326e+03
0.643000	4.446227e+03
0.644000	4.453127e+03
0.645000	4.460027e+03
0.646000	4.466926e+03
0.647000	4.473826e+03
0.648000	4.480727e+03
0.649000	4.487629e+03
0.650000	4.494530e+03
0.651000	4.501432e+03
0.652000	4.508334e+03
0.653000	4.515235e+03
0.654000	4.522139e+03
0.655000	4.529041e+03
0.656000	4.535945e+03
0.657000	4.542850e+03
0.658000	4.549753e+03
0.659000	4.556659e+03
0.660000	4.563564e+03
0.661000	4.570471e+03
0.662000	4.577378e+03
0.663000	4.584286e+03
0.664000	4.591194e+03
0.665000	4.598103e+03
0.666000	4.605014e+03
0.667000	4.611925e+03
0.668000	4.618836e+03
0.669000	4.625746e+03
0.670000	4.632655e+03
0.671000	4.639565e+03
0.672000	4.646476e+03
0.673000	4.653388e+03
0.674000	4.660299e+03
0.675000	4.667211e+03
0.676000	4.674122e+03
0.677000	4.681034e+03
0.678000	4.687946e+03
0.679000	4.694860e+03
0.680000	4.701775e+03
0.681000	4.708690e+03
0.682000	4.715604e+03
0.683000	4.722516e+03
0.684000	4.729427e+03
0.685000	4.736336e+03
0.686000	4.743246e+03
0.687000	4.750157e+03
0.688000	4.757069e+03
0.689000	4.763980e+03
0.690000	4.770892e+03
0.691000	4.777804e+03
0.692000	4.784717e+03
0.693000	4.791631e+03
0.694000	4.798544e+03
0.695000	4.805457e+03
0.696000	4.812370e+03
0.697000	4.819286e+03
0.698000	4.826203e+03
0.699000	4.833118e+03
0.700000	4.840034e+03
0.701000	4.846953e+03
0.702000	4.853870e+03
0.703000	4.860789e+03
0.704000	4.867711e+03
0.705000	4.874634e+03
0.706000	4.881557e+03
0.707000	4.888480e+03
0.708000	4.895404e+03
0.709000	4.902328e+03
